"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21936";0;0;0;0;2;1;0;9;1;7;0,0206930625262754;-0,0206396377446487;69,0403943182901;937
"21937";3;3;9;3;1;1;0;0;0;0;-0,0242632048080372;-0,0142391847880891;28,0026654480025;938
"21938";0;1;0;2;2;2;5;4;1;3;0,0136118609928755;-0,029161985950322;62,5764139695093;939
"21939";2;3;8;4;1;2;0;0;0;0;-0,0309965414613489;-0,000912852875436824;21,8562289141119;940
"21940";0;1;0;1;3;1;1;6;2;5;0,019386495776079;-0,0224802225070766;67,8477122914046;941
"21941";0;0;0;0;0;0;2;8;1;9;0,0254853584412105;-0,0128500426191067;73,4149777097628;942
"21942";0;0;0;0;0;0;0;10;0;10;0,0533192780180372;0,0646621778077372;98,8227998604998;943
"21943";0;0;0;0;1;0;0;10;1;8;0,0243572745400859;-0,0148305616600189;72,3852213704959;944
"21944";0;1;7;3;3;4;2;0;0;0;-0,00757985322999131;-0,0333757697828651;43,231840361841;945
"21945";2;3;12;2;0;1;0;0;0;0;-0,0269673138154439;-0,00927449771464361;25,5342556163669;946
"21946";2;7;8;2;1;0;0;0;0;0;-0,0477344333403286;0,046174280745385;6,57726761419326;947
"21947";2;3;2;5;4;1;1;2;0;0;-0,00834844539335712;-0,0329288204519322;42,5302412593737;948
"21948";3;4;11;2;0;0;0;0;0;0;-0,0428142505356207;0,0302666052952837;11,068590846844;949
"21949";0;0;0;0;1;0;0;10;1;8;0,0337908219490113;0,00451559500943296;80,9965092688799;950
"21950";0;0;0;0;0;0;0;9;0;11;0,040784980864714;0,0229419879922775;87,3810339253396;951
"21951";0;1;1;3;2;3;6;2;1;1;0,00552345130830252;-0,0345364603380329;55,19301709719;952
"21952";0;0;1;2;3;5;3;4;2;0;0,00540457879581342;-0,0345807784981781;55,0845059100538;953
"21953";1;4;11;3;1;0;0;0;0;0;-0,0224203947860572;-0,0173247940658317;29,6848499914631;954
"21954";0;0;0;0;0;4;4;8;0;4;0,00622332907773302;-0,0342551688512634;55,8318911818787;955
"21955";0;0;0;0;0;0;0;9;1;10;0,0303053352724448;-0,00336908726120362;77,8148292563856;956
"21956";3;4;9;1;3;0;0;0;0;0;-0,037842323785114;0,0159393430873014;15,6071478500962;957
"21957";0;0;0;0;3;2;2;7;2;4;0,0165090662369584;-0,026105900212162;65,2210891246796;958
